organisationunitname,organisationunitname,periodname,MOH 747A_Combined Oral contraceptive Pills Dispensed,MOH 747A_Cycle Beads Dispensed,MOH 747A_DMPA-IM Dispensed,MOH 747A_DMPA-SC Dispensed,MOH 747A_Emergency Contraceptive pills Dispensed,MOH 747A_Female Condoms Dispensed,MOH 747A_Hormonal IUCD Dispensed,MOH 747A_Implant (2-Rod) – LNG 75mg (5 years) Dispensed,MOH 747A_Implants (1-Rod) – ENG 68mg Dispensed,MOH 747A_Implants (2-Rod) - LNG 75mg (3 years) Dispensed,MOH 747A_Male Condoms Dispensed,MOH 747A_Non-Hormonal IUCD Dispensed
Revised Ministry of Health (2018),Kayaya Dispensary,2024,30,,180,,3,,,28,35,10,"1,296",
Revised Ministry of Health (2018),Khachonge Dispensary,2020,7,,85,,,,,4,,,"1,008",
Revised Ministry of Health (2018),Khachonge Dispensary,2021,66,,502,,,,,31,2,6,144,
Revised Ministry of Health (2018),Khachonge Dispensary,2022,98,,476,,,,,26,24,15,,
Revised Ministry of Health (2018),Khachonge Dispensary,2023,2,,200,,10,,,14,16,17,590,
Revised Ministry of Health (2018),Khachonge Dispensary,2024,10,,128,,,,,16,,1,"1,093",
Revised Ministry of Health (2018),Khalala Dispensary,2020,59,,486,,,,,24,10,,"4,484",
Revised Ministry of Health (2018),Khalala Dispensary,2021,183,,338,,,,,101,9,,"10,368",
Revised Ministry of Health (2018),Khalala Dispensary,2022,315,,516,,,,,19,,61,"12,152",
Revised Ministry of Health (2018),Khalala Dispensary,2023,42,,462,,1,,,60,31,17,"20,792",
Revised Ministry of Health (2018),Khalala Dispensary,2024,39,,281,,,,,15,14,1,"5,898",
Revised Ministry of Health (2018),Khalumuli Dispensary,2020,136,2,706,,9,2,,51,10,,"3,950",
Revised Ministry of Health (2018),Khalumuli Dispensary,2021,110,,745,,3,16,,148,,,"4,740",
Revised Ministry of Health (2018),Khalumuli Dispensary,2022,268,,542,,,,,37,58,60,"7,000",
Revised Ministry of Health (2018),Khalumuli Dispensary,2023,27,,288,,,,,102,43,21,"13,608",
Revised Ministry of Health (2018),Khalumuli Dispensary,2024,55,,286,,,,,31,3,,"3,026",
Revised Ministry of Health (2018),Khaoya Dispensary,2020,136,,538,,,,,137,10,,"1,030",2
Revised Ministry of Health (2018),Khaoya Dispensary,2021,197,,541,,,,,86,,,"2,337",2
Revised Ministry of Health (2018),Khaoya Dispensary,2022,198,,486,,,,,102,59,30,300,
Revised Ministry of Health (2018),Khaoya Dispensary,2023,11,,241,12,2,,,73,7,13,"1,728",5
Revised Ministry of Health (2018),Khaoya Dispensary,2024,44,,77,27,2,,,22,30,7,,
Revised Ministry of Health (2018),Kibingei Dispensary,2020,243,,658,,,,,87,28,,"5,211",
Revised Ministry of Health (2018),Kibingei Dispensary,2021,120,,535,,,13,,158,,19,"8,899",
Revised Ministry of Health (2018),Kibingei Dispensary,2022,194,,817,,,,,46,13,117,"4,249",
Revised Ministry of Health (2018),Kibingei Dispensary,2023,12,,469,,,,,7,93,3,"6,287",
Revised Ministry of Health (2018),Kibingei Dispensary,2024,111,,148,,,,,18,21,6,"1,273",
Revised Ministry of Health (2018),Kibisi Dispensary,2020,36,3,"1,203",,,,,27,,,"6,031",
Revised Ministry of Health (2018),Kibisi Dispensary,2021,131,,531,,,,,43,,10,"4,429",
Revised Ministry of Health (2018),Kibisi Dispensary,2022,284,,674,,,,,30,,71,"13,754",
Revised Ministry of Health (2018),Kibisi Dispensary,2023,39,,433,,21,,,99,,33,"9,792",
Revised Ministry of Health (2018),Kibisi Dispensary,2024,55,,322,,7,,,23,2,16,"1,008",
Revised Ministry of Health (2018),Kibuke Dispensary,2020,55,,664,,3,300,,10,13,,"17,490",2
Revised Ministry of Health (2018),Kibuke Dispensary,2021,143,,876,,,105,,84,11,,"32,580",1
Revised Ministry of Health (2018),Kibuke Dispensary,2022,273,,603,,,,,76,39,68,"19,092",
Revised Ministry of Health (2018),Kibuke Dispensary,2023,25,,793,,10,8,,62,126,6,"16,464",1
Revised Ministry of Health (2018),Kibuke Dispensary,2024,45,,451,,,,,35,43,19,"34,543",
Revised Ministry of Health (2018),Kimaeti Health centre,2020,137,,807,,24,,,353,83,,"26,012",7
Revised Ministry of Health (2018),Kimaeti Health centre,2021,131,,627,,1,5,,229,95,,"20,434",5
Revised Ministry of Health (2018),Kimaeti Health centre,2022,329,,901,,3,,,401,49,65,"10,172",3
Revised Ministry of Health (2018),Kimaeti Health centre,2023,33,,"1,167",,5,,,68,156,,"41,066",
Revised Ministry of Health (2018),Kimaeti Health centre,2024,231,,432,45,3,,,54,123,10,"14,400",12
Revised Ministry of Health (2018),Kimalewa Health Centre,2020,181,,681,,,,,143,203,,"6,505",4
Revised Ministry of Health (2018),Kimalewa Health Centre,2021,38,,817,,,,,335,62,5,"14,660",6
Revised Ministry of Health (2018),Kimalewa Health Centre,2022,32,,643,,,,14,10,77,138,612,5
Revised Ministry of Health (2018),Kimalewa Health Centre,2023,10,,479,,16,,5,111,64,123,"8,928",24
Revised Ministry of Health (2018),Kimalewa Health Centre,2024,28,,241,,28,,,39,31,99,"1,820",10
Revised Ministry of Health (2018),Kimilili Subcounty Hospital,2020,469,,"3,485",,45,57,,573,99,,"12,073",80
Revised Ministry of Health (2018),Kimilili Subcounty Hospital,2021,965,,"2,452",,,570,8,922,80,284,"6,272",68
Revised Ministry of Health (2018),Kimilili Subcounty Hospital,2022,"1,042",,"3,423",,,138,,580,346,292,"3,466",92
Revised Ministry of Health (2018),Kimilili Subcounty Hospital,2023,165,,"1,779",1,16,543,,"1,033",152,124,"5,572",99
Revised Ministry of Health (2018),Kimilili Subcounty Hospital,2024,316,,749,,38,150,10,394,,36,"1,547",30
Revised Ministry of Health (2018),Kisawayi Dispensary,2020,,,141,,,2,,12,,,232,
Revised Ministry of Health (2018),Kisawayi Dispensary,2021,,,54,,,,,,,,200,
Revised Ministry of Health (2018),Kisawayi Dispensary,2022,54,,131,,,,,,9,,288,
Revised Ministry of Health (2018),Kisawayi Dispensary,2023,,,299,,2,,,4,31,,"9,216",
Revised Ministry of Health (2018),Kisawayi Dispensary,2024,63,,162,2,3,,,1,4,,"3,311",
Revised Ministry of Health (2018),Kitabisi Dispensary,2020,242,,"1,061",,,,,129,14,,"8,936",
Revised Ministry of Health (2018),Kitabisi Dispensary,2021,119,,"1,110",,,110,,52,2,,"11,600",
Revised Ministry of Health (2018),Kitabisi Dispensary,2022,293,,643,,,210,,61,49,50,"16,470",
Revised Ministry of Health (2018),Kitabisi Dispensary,2023,5,,557,,3,,,83,66,25,"8,840",
Revised Ministry of Health (2018),Kitabisi Dispensary,2024,16,,182,18,2,,,21,48,5,"3,948",
Revised Ministry of Health (2018),Kituni Dispensary,2020,16,,320,,,2,,120,18,,"10,368",
Revised Ministry of Health (2018),Kituni Dispensary,2021,21,,535,,,21,,65,22,,"4,896",
Revised Ministry of Health (2018),Kituni Dispensary,2022,13,,540,,,,,16,18,10,"1,008",
Revised Ministry of Health (2018),Kituni Dispensary,2023,15,,519,,,,,65,52,,"2,140",1
Revised Ministry of Health (2018),Kituni Dispensary,2024,72,,306,,,,,40,16,,"3,024",
Revised Ministry of Health (2018),Kolani Dispensary,2020,76,,504,,4,,,40,35,,"7,162",
Revised Ministry of Health (2018),Kolani Dispensary,2021,250,,499,,,,,117,8,,"15,320",
Revised Ministry of Health (2018),Kolani Dispensary,2022,622,,352,,,,,32,65,67,"4,464",
Revised Ministry of Health (2018),Kolani Dispensary,2023,27,,382,,1,,,98,31,28,"13,000",
Revised Ministry of Health (2018),Kolani Dispensary,2024,67,,194,,,,,25,46,,"2,602",
Revised Ministry of Health (2018),Kongit Dispensary,2020,6,,101,,,,,1,10,,789,
Revised Ministry of Health (2018),Kongit Dispensary,2021,56,,84,,,20,,31,26,,"5,715",
Revised Ministry of Health (2018),Kongit Dispensary,2022,41,,262,,,,,34,,,"3,954",
Revised Ministry of Health (2018),Kongit Dispensary,2023,,,234,,,400,,24,,,"3,327",
Revised Ministry of Health (2018),Kongit Dispensary,2024,,,28,,,,,8,,,"1,637",
Revised Ministry of Health (2018),Kongoli Dispensary,2020,178,,770,,2,,,42,44,,"10,262",1
Revised Ministry of Health (2018),Kongoli Dispensary,2021,201,,793,,2,37,,139,,,"12,936",2
Revised Ministry of Health (2018),Kongoli Dispensary,2022,255,,504,,,23,,98,31,119,"3,344",1
Revised Ministry of Health (2018),Kongoli Dispensary,2023,21,,407,,,,,12,58,26,"8,208",2
Revised Ministry of Health (2018),Kongoli Dispensary,2024,114,,273,,2,,,29,25,6,"5,616",
Revised Ministry of Health (2018),Kopsiro Model Health Centre,2020,122,,"1,692",,40,,,213,15,,"33,500",
Revised Ministry of Health (2018),Kopsiro Model Health Centre,2021,234,,629,,,,,60,,,"28,746",
Revised Ministry of Health (2018),Kopsiro Model Health Centre,2022,138,,551,,8,,,51,24,179,"19,072",1
Revised Ministry of Health (2018),Kopsiro Model Health Centre,2023,42,,418,,25,,,516,279,108,"17,702",1
Revised Ministry of Health (2018),Kopsiro Model Health Centre,2024,6,,310,,32,"2,160",,10,107,1,"7,059",
Revised Ministry of Health (2018),Korosiandet Health Centre,2020,172,,603,,,,,65,35,,"9,823",1
Revised Ministry of Health (2018),Korosiandet Health Centre,2021,376,,393,,,,,74,,,"9,000",
Revised Ministry of Health (2018),Korosiandet Health Centre,2022,331,,574,,,576,,25,,87,"13,968",
Revised Ministry of Health (2018),Korosiandet Health Centre,2023,30,,321,,19,,,37,104,65,"17,136",1
Revised Ministry of Health (2018),Korosiandet Health Centre,2024,33,,222,,3,,,39,22,2,864,
Revised Ministry of Health (2018),Koshok Dispensary,2020,174,,335,,5,,,27,59,,"34,848",30
Revised Ministry of Health (2018),Koshok Dispensary,2021,142,,252,,1,50,,17,,,"10,534",33
Revised Ministry of Health (2018),Koshok Dispensary,2022,143,,165,,,90,,43,15,,"4,320",43
Revised Ministry of Health (2018),Koshok Dispensary,2023,55,,379,,,160,,3,31,,,20
Revised Ministry of Health (2018),Koshok Dispensary,2024,21,,158,,,20,,4,6,5,,
Revised Ministry of Health (2018),Kubura Dispensary,2020,229,,"1,088",,,,,87,,,"17,986",
Revised Ministry of Health (2018),Kubura Dispensary,2021,183,,503,,,"1,872",,33,,,"18,720",
Revised Ministry of Health (2018),Kubura Dispensary,2022,528,,250,,,,,38,116,123,"9,792",
Revised Ministry of Health (2018),Kubura Dispensary,2023,75,,258,,42,,,70,75,99,"18,227",
Revised Ministry of Health (2018),Kubura Dispensary,2024,161,,453,,28,,,73,,187,"5,472",
Revised Ministry of Health (2018),Lukhokhwe Dispensary,2020,113,,747,,11,,,115,32,,"20,269",
Revised Ministry of Health (2018),Lukhokhwe Dispensary,2021,126,,663,,,,,51,33,80,432,1
Revised Ministry of Health (2018),Lukhokhwe Dispensary,2022,411,,455,,,,,130,,89,"13,536",2
Revised Ministry of Health (2018),Lukhokhwe Dispensary,2023,55,,254,,12,,,133,,16,"11,520",
Revised Ministry of Health (2018),Lukhokhwe Dispensary,2024,132,,280,,3,,,14,29,2,"2,448",1
Revised Ministry of Health (2018),Lukhome Dispensary (Kabuchai),2020,91,,398,,,52,,40,5,,"4,625",1
Revised Ministry of Health (2018),Lukhome Dispensary (Kabuchai),2021,152,,453,,,817,,89,,16,"8,457",1
Revised Ministry of Health (2018),Lukhome Dispensary (Kabuchai),2022,149,,444,,3,,4,67,63,25,"4,786",
Revised Ministry of Health (2018),Lukhome Dispensary (Kabuchai),2023,10,,343,,8,,,93,33,10,"3,731",1
Revised Ministry of Health (2018),Lukhome Dispensary (Kabuchai),2024,12,,181,,,,,31,65,7,"1,284",
Revised Ministry of Health (2018),Lukhuna Dispensary,2020,69,,"1,014",,2,,,86,15,,"15,332",
Revised Ministry of Health (2018),Lukhuna Dispensary,2021,165,,466,,,,,51,32,43,"8,033",
Revised Ministry of Health (2018),Lukhuna Dispensary,2022,771,,750,,,,,71,,63,"13,613",
Revised Ministry of Health (2018),Lukhuna Dispensary,2023,24,,254,,3,,,109,,77,"9,182",5
Revised Ministry of Health (2018),Lukhuna Dispensary,2024,112,,157,,11,,,53,31,3,"2,880",
Revised Ministry of Health (2018),Lukusi Dispensary,2020,"1,980",,707,,,51,,205,32,,"4,534",
Revised Ministry of Health (2018),Lukusi Dispensary,2021,138,,513,,,,,265,32,23,"3,366",1
Revised Ministry of Health (2018),Lukusi Dispensary,2022,172,,494,,,,,110,79,33,"2,073",
Revised Ministry of Health (2018),Lukusi Dispensary,2023,15,,475,,7,,,107,59,32,"7,487",
Revised Ministry of Health (2018),Lukusi Dispensary,2024,75,,354,43,3,,,53,36,40,"3,396",
Revised Ministry of Health (2018),Lunakwe Dispensary,2020,75,,837,,,118,,180,53,,"11,944",
Revised Ministry of Health (2018),Lunakwe Dispensary,2021,150,,"1,220",,3,10,,153,29,21,"22,365",
Revised Ministry of Health (2018),Lunakwe Dispensary,2022,352,,504,,,,,102,123,90,"12,740",
Revised Ministry of Health (2018),Lunakwe Dispensary,2023,,,574,54,14,,,156,63,6,"8,386",
Revised Ministry of Health (2018),Lunakwe Dispensary,2024,120,,267,16,5,,,58,63,10,"5,676",10
Revised Ministry of Health (2018),Lungai Dispensary,2020,101,,451,,,,,13,15,,"7,768",
Revised Ministry of Health (2018),Lungai Dispensary,2021,135,6,747,,,,,31,,9,"17,819",
Revised Ministry of Health (2018),Lungai Dispensary,2022,185,,911,,,,,104,,6,"12,965",2
Revised Ministry of Health (2018),Lungai Dispensary,2023,31,,446,,2,,,32,,55,"5,568",
Revised Ministry of Health (2018),Lungai Dispensary,2024,67,,209,,2,,,3,18,2,540,
Revised Ministry of Health (2018),Lurare Dispensary,2020,260,,721,,,,,106,1,,"5,895",
Revised Ministry of Health (2018),Lurare Dispensary,2021,369,,523,,,,,196,35,8,"5,508",
Revised Ministry of Health (2018),Lurare Dispensary,2022,630,,622,,,,,110,60,84,"10,900",
Revised Ministry of Health (2018),Lurare Dispensary,2023,34,,411,3,12,,,100,114,22,"9,216",
Revised Ministry of Health (2018),Lurare Dispensary,2024,48,,218,98,1,,,18,10,3,"1,296",
Revised Ministry of Health (2018),Luucho Dispensary,2020,165,,400,,1,127,,41,42,,"6,768",
Revised Ministry of Health (2018),Luucho Dispensary,2021,219,,901,,,80,,72,16,,"6,962",
Revised Ministry of Health (2018),Luucho Dispensary,2022,204,,532,,,,,22,36,64,"3,028",
Revised Ministry of Health (2018),Luucho Dispensary,2023,25,,372,,28,576,,91,30,,"7,632",
Revised Ministry of Health (2018),Luucho Dispensary,2024,12,,338,,3,,,33,15,10,"3,024",
Revised Ministry of Health (2018),Luuya Dispensary,2020,138,,641,,3,,,26,,,"10,510",
Revised Ministry of Health (2018),Luuya Dispensary,2021,"18,474",,830,,,,,188,92,,"5,343",
Revised Ministry of Health (2018),Luuya Dispensary,2022,592,,"1,020",,,,,48,32,26,,
Revised Ministry of Health (2018),Luuya Dispensary,2023,55,,301,,2,,,57,76,8,"7,055",
Revised Ministry of Health (2018),Luuya Dispensary,2024,7,,275,,3,,,25,,13,"2,310",
Revised Ministry of Health (2018),Lwakhakha Dispensary,2020,181,,445,,2,30,,19,8,,"8,352",1
Revised Ministry of Health (2018),Lwakhakha Dispensary,2021,102,,525,,,,,81,,,"15,201",4
Revised Ministry of Health (2018),Lwakhakha Dispensary,2022,198,,709,,1,240,,59,100,92,"6,396",5
Revised Ministry of Health (2018),Lwakhakha Dispensary,2023,33,,500,,2,,,86,,1,"14,213",2
Revised Ministry of Health (2018),Lwakhakha Dispensary,2024,19,,278,,1,,,15,55,15,"6,521",2
Revised Ministry of Health (2018),Lwanda Health Centre (Kabuchai),2020,155,,529,,,154,,67,31,,"5,695",
Revised Ministry of Health (2018),Lwanda Health Centre (Kabuchai),2021,138,,753,,,30,,254,46,25,"4,424",
Revised Ministry of Health (2018),Lwanda Health Centre (Kabuchai),2022,299,,989,,10,,,108,55,142,"6,060",100
Revised Ministry of Health (2018),Lwanda Health Centre (Kabuchai),2023,,,926,,11,,,157,15,17,"7,000",
Revised Ministry of Health (2018),Lwanda Health Centre (Kabuchai),2024,54,,461,,2,,,74,30,47,928,1
Revised Ministry of Health (2018),Lwandanyi Dispensary,2020,190,,745,,55,,,200,131,,"10,387",7
Revised Ministry of Health (2018),Lwandanyi Dispensary,2021,284,,585,,3,500,,260,30,,"6,012",3
Revised Ministry of Health (2018),Lwandanyi Dispensary,2022,419,,846,,,,,75,98,171,"23,424",5
Revised Ministry of Health (2018),Lwandanyi Dispensary,2023,30,,896,,19,,,224,52,75,"14,644",1
Revised Ministry of Health (2018),Lwandanyi Dispensary,2024,63,,358,,1,,,77,68,24,"1,296",
Revised Ministry of Health (2018),Machakha Dispensary,2020,261,,792,,,,,13,7,,"9,948",
Revised Ministry of Health (2018),Machakha Dispensary,2021,230,,518,,,36,,78,7,,"8,733",
Revised Ministry of Health (2018),Machakha Dispensary,2022,196,,661,,,,,20,100,35,"8,496",
Revised Ministry of Health (2018),Machakha Dispensary,2023,8,,447,,7,1,,74,2,42,"10,028",
Revised Ministry of Health (2018),Machakha Dispensary,2024,15,,264,,1,576,,15,34,3,698,
Revised Ministry of Health (2018),Maeni Dispensary,2020,158,,880,,10,,,111,30,,"19,200",2
Revised Ministry of Health (2018),Maeni Dispensary,2021,518,,569,,6,,,169,,59,"15,825",
Revised Ministry of Health (2018),Maeni Dispensary,2022,265,,460,,4,,,129,94,10,"4,400",
Revised Ministry of Health (2018),Maeni Dispensary,2023,80,,402,58,,,,39,71,,"8,195",
Revised Ministry of Health (2018),Maeni Dispensary,2024,,,230,,,,,28,,,"3,200",
Revised Ministry of Health (2018),Mahanga Dispensary,2020,68,,813,,4,60,,59,56,,"16,854",
Revised Ministry of Health (2018),Mahanga Dispensary,2021,56,,829,,9,20,,157,,,"11,808",
Revised Ministry of Health (2018),Mahanga Dispensary,2022,158,,797,,,548,3,74,54,30,"4,343",
Revised Ministry of Health (2018),Mahanga Dispensary,2023,20,,839,,4,"1,440",,40,37,11,"6,280",
Revised Ministry of Health (2018),Mahanga Dispensary,2024,21,,353,,,,,8,16,,"4,920",
Revised Ministry of Health (2018),Makhanga Dispensary,2020,119,3,505,,4,,,51,14,,,
Revised Ministry of Health (2018),Makhanga Dispensary,2021,89,,579,,3,,,19,,15,720,
Revised Ministry of Health (2018),Makhanga Dispensary,2022,186,,619,,,,,61,,3,,2
Revised Ministry of Health (2018),Makhanga Dispensary,2023,18,,450,,3,,,24,,23,"4,320",
Revised Ministry of Health (2018),Makhanga Dispensary,2024,102,,192,,2,,,11,12,5,"3,600",1
Revised Ministry of Health (2018),Makhonge Dispensary,2020,185,,415,,,122,,49,21,,"12,736",1
Revised Ministry of Health (2018),Makhonge Dispensary,2021,197,,523,,,15,5,35,46,,"7,488",
Revised Ministry of Health (2018),Makhonge Dispensary,2022,177,,675,,,10,,54,31,39,738,
Revised Ministry of Health (2018),Makhonge Dispensary,2023,,,241,,18,,,57,,10,"5,051",
Revised Ministry of Health (2018),Makhonge Dispensary,2024,12,,159,,7,,,28,,10,"1,873",
Revised Ministry of Health (2018),Makhonge Health Centre,2020,65,,"1,474",,19,,,377,52,,"44,289",19
Revised Ministry of Health (2018),Makhonge Health Centre,2021,66,,"1,356",,3,,,394,125,106,"18,408",27
Revised Ministry of Health (2018),Makhonge Health Centre,2022,165,,423,,,,,393,206,148,"4,388",25
Revised Ministry of Health (2018),Makhonge Health Centre,2023,24,,608,,1,95,,292,136,76,"18,000",38
Revised Ministry of Health (2018),Makhonge Health Centre,2024,48,,257,,1,60,,172,10,2,"6,792",3
Revised Ministry of Health (2018),Makololwe Dispensary,2020,121,,475,,3,,,49,30,,"11,952",2
Revised Ministry of Health (2018),Makololwe Dispensary,2021,172,,603,,3,,,25,17,4,"7,056",
Revised Ministry of Health (2018),Makololwe Dispensary,2022,149,,539,,2,,,29,,4,"9,285",
Revised Ministry of Health (2018),Makololwe Dispensary,2023,12,,446,,3,,,71,,39,"12,721",
Revised Ministry of Health (2018),Makololwe Dispensary,2024,78,,304,,7,,,13,7,11,"2,592",
Revised Ministry of Health (2018),Makunga Dispensary,2024,21,,35,,4,,,9,4,,,
Revised Ministry of Health (2018),Makutano Health Centre,2020,156,,977,,,,,284,59,,"21,902",2
Revised Ministry of Health (2018),Makutano Health Centre,2021,277,3,"1,316",,,,,205,41,65,"17,001",2
Revised Ministry of Health (2018),Makutano Health Centre,2022,458,,"1,185",,,,,194,,145,"25,636",4
Revised Ministry of Health (2018),Makutano Health Centre,2023,42,,"1,227",,22,,,270,,51,"31,870",4
Revised Ministry of Health (2018),Makutano Health Centre,2024,162,,348,,46,,,56,63,18,"7,438",3
Revised Ministry of Health (2018),Malakisi Health Centre,2020,268,,"1,209",,,100,,53,10,,"2,428",7
Revised Ministry of Health (2018),Malakisi Health Centre,2021,208,1,741,34,5,,,321,147,8,"13,684",12
Revised Ministry of Health (2018),Malakisi Health Centre,2022,498,,796,,,10,2,292,341,306,"7,462",18
Revised Ministry of Health (2018),Malakisi Health Centre,2023,58,,489,,,,,355,177,99,"5,370",23
Revised Ministry of Health (2018),Malakisi Health Centre,2024,202,,388,,3,864,,110,105,30,"4,882",5
Revised Ministry of Health (2018),Malinda Dispensary,2024,,,,32,,140,,,2,,,
Revised Ministry of Health (2018),Mang'ana Dispensary,2024,1,,58,,,,,8,3,,,
Revised Ministry of Health (2018),Marigo Dispensary,2020,11,,468,,,,,47,11,,"5,604",1
Revised Ministry of Health (2018),Marigo Dispensary,2021,75,,565,,,,,39,,,"5,040",
Revised Ministry of Health (2018),Marigo Dispensary,2022,32,,355,,,,,24,17,65,"8,180",
Revised Ministry of Health (2018),Marigo Dispensary,2023,6,,224,,,,,31,45,36,"6,048",
Revised Ministry of Health (2018),Marigo Dispensary,2024,20,,97,,17,,,12,1,18,"3,956",
Revised Ministry of Health (2018),Matisi Dispensary,2020,57,,349,,5,10,,118,27,,"20,711",6
Revised Ministry of Health (2018),Matisi Dispensary,2021,83,,424,15,3,10,,81,21,,"26,898",2
Revised Ministry of Health (2018),Matisi Dispensary,2022,152,,437,,,41,,102,16,74,"13,536",2
Revised Ministry of Health (2018),Matisi Dispensary,2023,1,,561,,9,,,86,79,28,"14,400",
Revised Ministry of Health (2018),Matisi Dispensary,2024,54,,248,,2,,,22,50,,,1
Revised Ministry of Health (2018),Matulo Dispensary,2020,51,,696,,6,,,81,34,,"10,864",10
Revised Ministry of Health (2018),Matulo Dispensary,2021,57,,735,24,,,,103,23,,"11,488",2
Revised Ministry of Health (2018),Matulo Dispensary,2022,171,,512,,,,,50,24,37,"8,928",
Revised Ministry of Health (2018),Matulo Dispensary,2023,3,,399,31,2,,,22,86,11,"7,056",
Revised Ministry of Health (2018),Matulo Dispensary,2024,11,,328,,,,,9,21,,"2,304",
Revised Ministry of Health (2018),Mayanja Dispensary,2020,409,,"1,334",,4,,,458,156,,"32,219",8
Revised Ministry of Health (2018),Mayanja Dispensary,2021,489,,"1,062",,7,,,706,77,,"25,776",3
Revised Ministry of Health (2018),Mayanja Dispensary,2022,473,,510,,3,,,381,264,326,"10,800",23
Revised Ministry of Health (2018),Mayanja Dispensary,2023,22,,187,,,,,617,325,68,"21,888",10
Revised Ministry of Health (2018),Mayanja Dispensary,2024,320,,195,5,11,,9,362,148,90,"7,632",10
Revised Ministry of Health (2018),Mechimeru Model Health Center,2020,430,,"1,466",,10,10,,273,206,,"27,792",3
Revised Ministry of Health (2018),Mechimeru Model Health Center,2021,598,1,868,,12,11,,553,84,,"33,120",5
Revised Ministry of Health (2018),Mechimeru Model Health Center,2022,627,,742,,4,,,210,216,196,"19,008",11
Revised Ministry of Health (2018),Mechimeru Model Health Center,2023,48,,699,,,,,293,255,50,"25,480",21
Revised Ministry of Health (2018),Mechimeru Model Health Center,2024,201,,425,50,5,,,186,110,3,"4,608",8
Revised Ministry of Health (2018),Miendo Dispensary,2020,66,,553,,,,,145,45,,"15,372",
Revised Ministry of Health (2018),Miendo Dispensary,2021,262,,887,18,,,,203,46,,"12,636",1
Revised Ministry of Health (2018),Miendo Dispensary,2022,272,,636,,,,,146,84,131,"7,200",
Revised Ministry of Health (2018),Miendo Dispensary,2023,33,,664,,16,,9,93,105,12,"9,504",
Revised Ministry of Health (2018),Miendo Dispensary,2024,57,,313,,2,176,,40,23,31,"2,736",
Revised Ministry of Health (2018),Mihuu Dispensary,2020,208,,825,,,,,272,8,,"8,928",1
Revised Ministry of Health (2018),Mihuu Dispensary,2021,326,,724,,,,1,316,32,40,"9,378",1
Revised Ministry of Health (2018),Mihuu Dispensary,2022,277,,538,,,,,192,178,70,"1,584",8
Revised Ministry of Health (2018),Mihuu Dispensary,2023,21,,441,28,30,,,401,41,8,"3,888",5
Revised Ministry of Health (2018),Mihuu Dispensary,2024,165,,167,172,21,,,183,50,62,"4,424",5
Revised Ministry of Health (2018),Milo Health Centre,2020,157,,961,,11,,,105,36,,"14,583",1
Revised Ministry of Health (2018),Milo Health Centre,2021,232,,"1,121",,3,,,219,27,30,"8,778",4
Revised Ministry of Health (2018),Milo Health Centre,2022,352,,573,,,,,73,64,131,"4,540",14
Revised Ministry of Health (2018),Milo Health Centre,2023,74,,900,18,6,,,104,84,108,"2,531",10
Revised Ministry of Health (2018),Milo Health Centre,2024,90,,364,,1,,,75,31,7,"4,454",6
Revised Ministry of Health (2018),Miluki Dispensary,2020,97,,"1,355",,,120,,230,84,,"10,489",19
Revised Ministry of Health (2018),Miluki Dispensary,2021,184,,"1,260",,,"1,559",,181,36,,"38,360",
Revised Ministry of Health (2018),Miluki Dispensary,2022,521,,649,,,"1,076",,160,138,168,"26,176",
Revised Ministry of Health (2018),Miluki Dispensary,2023,24,,636,,8,98,,140,208,10,"15,984",3
Revised Ministry of Health (2018),Miluki Dispensary,2024,150,,130,200,,,,38,71,10,"5,616",
